FID,GID,NOME,TTOMB,DESCRICAO,FONTE,ANO_REF,THE_GEOM
Bens Tombados.fid-2be50750_153af4824fe_1758,1,Fortaleza de Nossa Senhora de Assunção,Federal,<br><strong>Endereço: </strong>Avenida Alberto Nepomuceno s/n<br><br><strong>Proteção: </strong>Tombado,SECULTFOR,2016,POINT (-38.525003906569 -3.7228432271915)
Bens Tombados.fid-2be50750_153af4824fe_1759,2,Palacete Carvalho Motta - Centro de Documentação e Referência do Semiárido,Federal,"<br><strong>Endereço: </strong>Rua Pedro Pereira, n°683, esquina com General Sampaio, Centro<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.531430649074 -3.7287792147965)
Bens Tombados.fid-2be50750_153af4824fe_175a,3,Passeio Público - Praça dos Mártires,Federal,"<br><strong>Endereço: </strong>Rua Doutor João Moreira, s/n, Centro<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.5263149 -3.7226575)
Bens Tombados.fid-2be50750_153af4824fe_175b,4,Theatro José de Alencar,Federal,"<br><strong>Endereço: </strong>Rua Liberato Barroso, n°525, Centro<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.5319087 -3.7274778)
Bens Tombados.fid-2be50750_153af4824fe_175c,5,Antiga Alfândega,Estadual,"<br><strong>Endereço: </strong>Avenida Pessoa Anta, n°287, Paria de Iracema<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.5204303 -3.7208668)
Bens Tombados.fid-2be50750_153af4824fe_175d,6,Antiga Escola Normal - Atual Sede do IPHAN,Estadual,"<br><strong>Endereço: </strong>Rua Liberato Barroso, n°525, Centro<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.531888583432 -3.7272295513483)
Bens Tombados.fid-2be50750_153af4824fe_175e,7,Banco Frota Gentil,Estadual,"<br><strong>Endereço: </strong>Rua Floriano Peixoto, n°326, Centro<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.5264987 -3.7253796)
Bens Tombados.fid-2be50750_153af4824fe_175f,8,Casa de Detenção Ou Antiga Cadeia Pública - Centro de Turismo,Estadual,"<br><strong>Endereço: </strong>Rua Senador Pompeu, n°350, Centro<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.528317 -3.7222574)
Bens Tombados.fid-2be50750_153af4824fe_1760,9,Cine São Luiz,Estadual,"<br><strong>Endereço: </strong>Rua Major Facundo, n°500, Centro<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.5279906 -3.7275841)
Bens Tombados.fid-2be50750_153af4824fe_1761,10,Conjunto Palácio da Abolição e Mausoléu Castelo Branco,Estadual,"<br><strong>Endereço: </strong>Avenida Barão de Studart, entre as Ruas Tenente Benévolo e Deputado Moreira da Rocha<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.5044159 -3.7286279)
Bens Tombados.fid-2be50750_153af4824fe_1762,11,Estação Ferroviária Doutor João Pelipe,Estadual,"<br><strong>Endereço: </strong>Rua Doutor João Moreira, s/n, Centro<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.529813948965 -3.7217014653007)
Bens Tombados.fid-2be50750_153af4824fe_1763,12,Farol do Mucuripe,Estadual,"<br><strong>Endereço: </strong>Avenida Vicente de Castro, s/n, Mucuripe<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.470556975116 -3.7077795310995)
Bens Tombados.fid-2be50750_153af4824fe_1764,13,Galpões da RFFSA - Extensão do Conjunto da Estação João Felipe,Estadual,"<br><strong>Endereço: </strong>Rua 24 de maio, s/n, Praça Castro Carreiro, Centro<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.53049661475 -3.7221398139165)
Bens Tombados.fid-2be50750_153af4824fe_1765,14,"Hotel do Norte - Sedes do IAB-CE, da Orquestra Filarmônica do Estado do Ceará e Museu da Indústria",Estadual,"<br><strong>Endereço: </strong>Rua Doutor João Moreira, n°143, Centro<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.5259575 -3.7232448)
Bens Tombados.fid-2be50750_153af4824fe_1766,15,Igreja de Nossa Senhora do Rosário,Estadual,"<br><strong>Endereço: </strong>Praça General Tibúrcio - Praça dos Leões, Centro<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.5265317 -3.7274442)
Bens Tombados.fid-2be50750_153af4824fe_1767,16,Palacete Ceará - Caixa Econômica 3 da Praça do Ferreira,Estadual,"<br><strong>Endereço: </strong>Rua Floriano Peixote, n°570, Centro<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.527135026845 -3.7273890232062)
Bens Tombados.fid-2be50750_153af4824fe_1768,17,Palacete Jeremias Arruda,Estadual,"<br><strong>Endereço: </strong>Rua Barão do Rio Branco, n°1594, Centro<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.5301504 -3.7323202)
Bens Tombados.fid-2be50750_153af4824fe_1769,18,Palácio da Luz - Academia Cearense de Letras,Estadual,<br><strong>Endereço: </strong>Rua Sena Madureira - Rua do Rosário<br><br><strong>Proteção: </strong>Tombado,SECULTFOR,2016,POINT (-38.526313932586 -3.7272824872913)
Bens Tombados.fid-2be50750_153af4824fe_176a,19,Praça General Tibúrcio - Praça dos Leões,Estadual,"<br><strong>Endereço: </strong>Rua General Bezerril, Rua São Paulo, Rua Sena Madureira<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.526133958197 -3.7268939618694)
Bens Tombados.fid-2be50750_153af4824fe_176b,20,Secretaria 2 da Fazenda,Estadual,"<br><strong>Endereço: </strong>Avenida Alberto Nepomuceno, n°2, Centro<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.5230886 -3.720965)
Bens Tombados.fid-2be50750_153af4824fe_176c,21,Seminário da Prainha,Estadual,<br><strong>Endereço: </strong>Confluência das Ruas Dom Manuel e Monsenhor Tabosa<br><br><strong>Proteção: </strong>Tombado,SECULTFOR,2016,POINT (-38.519442312878 -3.7238448662942)
Bens Tombados.fid-2be50750_153af4824fe_176d,22,Solar Fernandes Vieira - Arquivo Público,Estadual,"<br><strong>Endereço: </strong>Rua Senador Pompeu, n°648, Centro<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.5288816 -3.7243324)
